Winery,Wine name,Wine type,Grapes,Vintage,Region,Country,Tasting notes,Price,Tasting summary,Aromas,url
Viu Manent,La Capilla Estate Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2021,Colchagua Valley,Chile,"Light - Bold: 70.34165%, Smooth - Tannic: 50.97478%, Dry - Sweet: 15.626787500000002%, Soft - Acidic: 45.8486125%",29.5,The taste profile of Viu Manent La Capilla Estate Cabernet Sauvignon is based on 496 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'coffee', 'cedar', 'dark chocolate', 'cigar box', 'butterscotch', 'butter', 'toffee', 'caramel', 'clove', 'allspice', 'dill', 'pastry'], 'Black Fruit': ['blackcurrant', 'blackberry', 'black fruit', 'plum', 'cassis', 'black cherry', 'jam', 'blueberry', 'dark fruit', 'berry jam', 'black raspberry', 'ripe blackberry', 'bramble', 'blackcurrant jam'], 'Earth': ['leather', 'smoke', 'earthy', 'minerals', 'mushroom', 'cocoa', 'graphite', 'salt', 'petrichor', 'balsamic', 'chalk', 'pencil shavings', 'iron', 'tar', 'forest floor'], 'Red Fruit': ['cherry', 'strawberry', 'raspberry', 'red cherry', 'ripe strawberry', 'red fruit', 'pomegranate', 'red plum'], 'Spices': ['pepper', 'licorice', 'mint', 'rosemary', 'bay leaf', 'menthol', 'eucalyptus', 'cinnamon', 'anise'], 'Vegetal': ['bell pepper', 'tomato', 'green bell pepper', 'red bell pepper'], 'Floral': ['violet', 'dried flowers', 'acacia', 'lavender', 'perfume', 'lilac'], 'Non Oak': ['almond', 'roasted almond', 'toast'], 'Microbio': ['cream', 'cheese', 'oil'], 'Dried Fruit': ['fig', 'raisin', 'prune'], 'Tropical Fruit': ['guava']}",https://www.vivino.com/FR/en/viu-manent-la-capilla-estate-cabernet-sauvignon/w/1164612?price_id=34437241&year=2021
Castello di Bolgheri,Varvàra Bolgheri,Red wine,100% Cabernet Sauvignon,2022,Bolgheri,Italy,"Light - Bold: 65.936535%, Smooth - Tannic: 64.4776625%, Dry - Sweet: 7.674892499999999%, Soft - Acidic: 54.7911875%",30,The taste profile of Castello di Bolgheri Varvàra Bolgheri is based on 1008 user reviews,"{'Oak': ['oak', 'chocolate', 'tobacco', 'vanilla', 'cedar', 'dark chocolate', 'coffee', 'cigar box', 'mocha', 'clove', 'butter', 'baking spice', 'cigar', 'milk chocolate', 'cola', 'nutmeg', 'caramel', 'wood smoke'], 'Black Fruit': ['blackberry', 'plum', 'blackcurrant', 'dark fruit', 'black cherry', 'black fruit', 'cassis', 'blueberry', 'black plum', 'jam', 'blackberry jam', 'black raspberry', 'blackcurrant jam', 'boysenberry', 'sugarplum', 'ripe blackberry'], 'Earth': ['leather', 'earthy', 'smoke', 'mushroom', 'truffle', 'pencil shavings', 'balsamic', 'cocoa', 'minerals', 'graphite', 'game', 'stone', 'honey', 'forest floor', 'chalk', 'tobacco leaf', 'wax'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'strawberry', 'red cherry', 'red plum', 'sour cherry', 'cranberry', 'red currant', 'cherry cola', 'bing cherry'], 'Spices': ['pepper', 'licorice', 'mint', 'eucalyptus', 'cinnamon', 'fennel', 'savory', 'menthol', 'white pepper', 'black licorice', 'dried herbs'], 'Floral': ['violet', 'dried flowers', 'lavender', 'perfume', 'rose hip', 'dried rose', 'elderflower', 'rose petal'], 'Microbio': ['cheese', 'cream'], 'Non Oak': ['toast', 'almond', 'walnut', 'brown sugar', 'peanut'], 'Dried Fruit': ['prune', 'raisin', 'fig', 'black raisin'], 'Vegetal': ['tomato', 'asparagus', 'green bell pepper', 'bell pepper'], 'Tree Fruit': ['apple', 'stone fruit', 'quince'], 'Citrus Fruit': ['lemon']}",https://www.vivino.com/FR/en/castello-di-bolgheri-varvara-bolgheri/w/1163747?price_id=35515835&year=2022
Groot Constantia,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2021,Constantia,South Africa,"Light - Bold: 74.81003249999999%, Smooth - Tannic: 65.41088%, Dry - Sweet: 7.537122499999999%, Soft - Acidic: 61.010954999999996%",31.7,The taste profile of Groot Constantia Cabernet Sauvignon is based on 550 user reviews,"{'Black Fruit': ['blackcurrant', 'plum', 'black fruit', 'dark fruit', 'cassis', 'blackberry', 'black cherry', 'bramble', 'jam', 'mulberry', 'blueberry', 'black plum', 'ripe blackberry', 'black olive'], 'Oak': ['oak', 'vanilla', 'tobacco', 'cedar', 'cigar box', 'dark chocolate', 'cigar', 'chocolate', 'clove', 'coffee', 'sandalwood'], 'Earth': ['leather', 'smoke', 'earthy', 'graphite', 'pencil shavings', 'saline', 'minerals', 'cocoa', 'tobacco leaf', 'rubber', 'game', 'dried leaves', 'pencil lead', 'salt', 'truffle', 'forest floor'], 'Spices': ['cinnamon', 'pepper', 'mint', 'eucalyptus', 'licorice', 'fennel', 'musk', 'aniseed', 'thyme', 'anise', 'dried herbs'], 'Red Fruit': ['red fruit', 'cherry', 'raspberry', 'strawberry'], 'Vegetal': ['bell pepper', 'green bell pepper', 'tomato', 'tomato leaf', 'grass'], 'Microbio': ['cheese', 'curd', 'cream', 'banana'], 'Non Oak': ['nutty', 'burnt caramel', 'almond'], 'Dried Fruit': ['raisin', 'prune'], 'Citrus Fruit': ['citrus', 'lemon'], 'Tree Fruit': ['apple'], 'Floral': ['magnolia']}",https://www.vivino.com/FR/en/groot-constantia-cabernet-sauvignon/w/1117227?price_id=37625291&year=2021
Torre Rosazza,Ronco della Torre,Red wine,100% Cabernet Sauvignon,2020,Colli Orientali del Friuli,Italy,"Light - Bold: 69.3257625%, Smooth - Tannic: 51.2500025%, Dry - Sweet: 4.924242499999998%, Soft - Acidic: 38.924240000000005%",31.4,The taste profile of Torre Rosazza Ronco della Torre is based on 9 user reviews,"{'Black Fruit': ['blackberry', 'black cherry', 'blueberry', 'black fruit', 'black plum', 'plum'], 'Earth': ['leather', 'balsamic', 'earthy'], 'Oak': ['tobacco', 'coffee', 'oak'], 'Red Fruit': ['red cherry'], 'Floral': ['violet']}",https://www.vivino.com/FR/en/torre-rosazzo-ronco-della-torre/w/9091520?price_id=35445037&year=2020
Charles Smith,Chateau Smith Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2021,Washington,United States,"Light - Bold: 66.786585%, Smooth - Tannic: 63.53930000000001%, Dry - Sweet: 7.997752500000001%, Soft - Acidic: 64.54088%",27.55,The taste profile of Charles Smith Chateau Smith Cabernet Sauvignon is based on 1820 user reviews,"{'Black Fruit': ['blackberry', 'plum', 'dark fruit', 'blueberry', 'black cherry', 'blackcurrant', 'cassis', 'black fruit', 'jam', 'boysenberry', 'black plum', 'black olive', 'bramble', 'berry jam', 'blackberry jam', 'ripe blackberry', 'spiced plum'], 'Oak': ['oak', 'chocolate', 'vanilla', 'tobacco', 'cedar', 'coffee', 'dark chocolate', 'butter', 'mocha', 'clove', 'cigar', 'cigar box', 'cola', 'butterscotch', 'toffee', 'caramel', 'baking spice', 'sandalwood', 'sweet tobacco', 'espresso', 'milk chocolate', 'nutmeg', 'dill'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'strawberry', 'cranberry', 'red cherry', 'red currant', 'sour cherry', 'cotton candy', 'ripe strawberry', 'pomegranate', 'red plum', 'cherry syrup', 'raspberry sauce', 'cherry cola', 'bing cherry'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'graphite', 'minerals', 'forest floor', 'stone', 'mushroom', 'tobacco leaf', 'pencil lead', 'charcoal', 'pencil shavings', 'slate', 'iron', 'tar', 'tree bark', 'dried leaves', 'ash', 'grilled meat', 'rubber', 'chalk dust', 'potting soil', 'clay pot', 'wax', 'chalk', 'crushed gravel', 'roasted meat'], 'Spices': ['pepper', 'licorice', 'mint', 'anise', 'cinnamon', 'eucalyptus', 'rosemary', 'sage', 'savory', 'dried herbs', 'white pepper', 'menthol', 'red licorice', 'black licorice', 'vanilla bean', 'musk', 'oregano', 'thyme'], 'Dried Fruit': ['prune', 'raisin', 'fig', 'dried fruit'], 'Microbio': ['cheese', 'cream', 'oil', 'campfire', 'yeast'], 'Vegetal': ['bell pepper', 'grass', 'tomato', 'fresh-cut grass', 'green bell pepper', 'celery', 'asparagus', 'red bell pepper', 'rhubarb'], 'Non Oak': ['toast', 'molasses', 'chestnut', 'toasted almond', 'almond', 'pecan', 'brown sugar', 'marzipan'], 'Floral': ['violet', 'lavender', 'iris'], 'Tree Fruit': ['apple', 'apricot', 'stone fruit'], 'Citrus Fruit': ['orange', 'citrus', 'tangerine', 'lemon zest']}",https://www.vivino.com/FR/en/charles-smith-chateau-smith-cabernet-sauvignon/w/1084276?price_id=35062390&year=2021
Antinori,Tenuta Guado al Tasso Il Bruciato Bolgheri,Red wine,100% Cabernet Sauvignon,2023,Bolgheri,Italy,"Light - Bold: 66.6830825%, Smooth - Tannic: 62.69847%, Dry - Sweet: 9.6422925%, Soft - Acidic: 52.666865%",28.48,The taste profile of Antinori Tenuta Guado al Tasso Il Bruciato Bolgheri is based on 10297 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'coffee', 'cedar', 'dark chocolate', 'clove', 'mocha', 'baking spice', 'caramel', 'espresso', 'butter', 'cigar', 'coconut', 'cigar box', 'nutmeg', 'sweet tobacco', 'toffee', 'milk chocolate', 'cola', 'sandalwood', 'incense', 'pipe tobacco', 'pastry', 'allspice', 'brown butter', 'butterscotch', 'cocoa nib', 'toasted marshmallow'], 'Black Fruit': ['blackberry', 'plum', 'black cherry', 'dark fruit', 'black fruit', 'blackcurrant', 'blueberry', 'cassis', 'jam', 'black plum', 'bramble', 'boysenberry', 'mulberry', 'black raspberry', 'blackberry jam', 'black olive', 'ripe blackberry', 'berry jam', 'olive tapenade', 'bilberry', 'kalamata olive', 'hoisin', 'grape jam', 'spiced plum', 'roasted plum', 'blackcurrant jam'], 'Earth': ['leather', 'earthy', 'smoke', 'mushroom', 'minerals', 'cocoa', 'graphite', 'tar', 'balsamic', 'truffle', 'forest floor', 'charcoal', 'honey', 'game', 'ash', 'stone', 'iron', 'salt', 'slate', 'underbrush', 'pencil shavings', 'chalk', 'tobacco leaf', 'new leather', 'pencil lead', 'grilled meat', 'wax', 'tree bark', 'ginger', 'dried leaves', 'plastic', 'exotic spice', 'cured meat', 'smoked meats', 'flint', 'potting soil'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'strawberry', 'red cherry', 'cranberry', 'red currant', 'sour cherry', 'pomegranate', 'red plum', 'bing cherry', 'ripe strawberry', 'wild strawberry', 'cherry cola', 'morello cherry', 'roasted tomato', 'maraschino cherry', 'cotton candy', 'fresh strawberry', 'raspberry sauce'], 'Spices': ['pepper', 'licorice', 'mint', 'cinnamon', 'white pepper', 'menthol', 'anise', 'savory', 'eucalyptus', 'rosemary', 'thyme', 'dried herbs', 'black licorice', 'bay leaf', 'sage', 'star anise', 'fennel', 'vanilla bean', 'tarragon', 'juniper', 'red licorice', 'green herbs', '5-spice powder', 'oregano', 'fennel seed', 'aleppo pepper', 'coriander', 'aniseed', 'juniper berry', 'bergamot', 'cracked pepper'], 'Dried Fruit': ['prune', 'raisin', 'fig', 'dried fruit', 'dried blackberry', 'dried cranberry', 'dried blueberry', 'dried apricot', 'black raisin'], 'Microbio': ['cheese', 'cream', 'oil', 'yeast', 'banana', 'bread yeast', 'campfire', 'parmesan cheese'], 'Floral': ['violet', 'perfume', 'lavender', 'hibiscus', 'rose petal', 'dried flowers', 'lilac', 'potpourri', 'rose hip'], 'Non Oak': ['toast', 'almond', 'hazelnut', 'nutty', 'chestnut', 'dried fig', 'peanut', 'toasted almond', 'maple syrup', 'marzipan', 'pecan', 'molasses', 'brioche', 'black walnut', 'roasted almond', 'biscuit', 'brown sugar'], 'Vegetal': ['tomato', 'grass', 'bell pepper', 'asparagus', 'green bell pepper', 'tomato leaf', 'hay', 'rhubarb', 'fresh-cut grass', 'gooseberry', 'chard', ""cat's pee"", 'celery'], 'Citrus Fruit': ['citrus', 'lemon', 'orange', 'marmalade', 'orange zest', 'blood orange', 'lime', 'orange rind'], 'Tree Fruit': ['apple', 'stone fruit', 'peach', 'apricot', 'nectarine', 'persimmon'], 'Tropical Fruit': ['tropical', 'papaya', 'pineapple', 'guava']}",https://www.vivino.com/FR/en/antinori-tuscany-tenuta-guado-al-tasso-il-bruciato-bolgheri/w/1659?price_id=37543506&year=2023
Francis Ford Coppola Winery,Diamond Collection Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2020,California,United States,"Light - Bold: 84.72243999999999%, Smooth - Tannic: 50.713475%, Dry - Sweet: 7.420872499999998%, Soft - Acidic: 48.32665%",27.45,The taste profile of Francis Ford Coppola Winery Diamond Collection Cabernet Sauvignon is based on 8268 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'dark chocolate', 'butter', 'cedar', 'baking spice', 'coffee', 'mocha', 'clove', 'cola', 'caramel', 'espresso', 'cigar', 'cigar box', 'nutmeg', 'milk chocolate', 'toffee', 'sweet tobacco', 'allspice', 'coconut', 'hickory', 'brown bread', 'pipe tobacco', 'pie crust', 'toasted marshmallow', 'wood smoke', 'dill'], 'Black Fruit': ['blackberry', 'plum', 'dark fruit', 'black cherry', 'blackcurrant', 'blueberry', 'black fruit', 'cassis', 'jam', 'blackberry jam', 'black plum', 'boysenberry', 'ripe blackberry', 'berry jam', 'mulberry', 'bramble', 'black olive', 'black raspberry', 'grape jam', 'blackcurrant jam'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'strawberry', 'cranberry', 'red cherry', 'red currant', 'pomegranate', 'cherry cola', 'sour cherry', 'red plum', 'huckleberry', 'fresh strawberry', 'cherry cough syrup', 'fruit punch', 'maraschino cherry', 'dried strawberry'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'mushroom', 'minerals', 'game', 'stone', 'salt', 'balsamic', 'forest floor', 'charcoal', 'tar', 'graphite', 'honey', 'truffle', 'grilled meat', 'slate', 'pencil lead', 'ash', 'bacon fat', 'iron', 'barbecue smoke', 'cured meat', 'chalk', 'chutney', 'pencil shavings', 'wet gravel', 'exotic spice', 'potting soil', 'clay pot'], 'Spices': ['pepper', 'licorice', 'dried herbs', 'cinnamon', 'anise', 'savory', 'mint', 'eucalyptus', 'menthol', 'rosemary', 'black licorice', 'vanilla bean', 'white pepper', 'red licorice', 'thyme', 'green herbs', 'oregano', 'tarragon', 'green peppercorn', 'musk', 'fennel', 'cracked pepper', 'sage', 'bay leaf', 'aleppo pepper', 'aniseed', 'jalapeno'], 'Microbio': ['cheese', 'cream', 'yeast', 'campfire', 'oil', 'cheesy', 'banana'], 'Dried Fruit': ['raisin', 'prune', 'fig', 'dried fruit', 'dried cranberry', 'dried blackberry', 'dried apricot'], 'Citrus Fruit': ['citrus', 'grapefruit', 'lime', 'orange', 'orange peel', 'lemon', 'grapefruit pith', 'marmalade', 'pink grapefruit'], 'Tree Fruit': ['apple', 'pear', 'apricot', 'peach', 'stone fruit', 'melon', 'persimmon', 'green apple', 'cantaloupe'], 'Non Oak': ['toast', 'nutty', 'walnut', 'almond', 'brown sugar', 'peanut', 'dried fig', 'toasted almond'], 'Vegetal': ['tomato', 'bell pepper', 'rhubarb', 'hay', 'grass', 'green bell pepper', 'chard', 'asparagus', 'tomato leaf', 'red bell pepper'], 'Floral': ['violet', 'perfume', 'lavender', 'jasmine', 'lilac', 'hibiscus', 'potpourri'], 'Tropical Fruit': ['tropical', 'pineapple', 'bubblegum', 'mango']}",https://www.vivino.com/FR/en/francis-ford-coppola-winery-diamond-collection-cabernet-sauvignon/w/6304?price_id=36600940&year=2020
Banfi,Cum Laude,Red wine,100% Cabernet Sauvignon,2020,Toscana,Italy,"Light - Bold: 50.570117499999995%, Smooth - Tannic: 42.45745%, Dry - Sweet: 6.33277%, Soft - Acidic: 44.7715875%",27.95,The taste profile of Banfi Cum Laude is based on 1717 user reviews,"{'Black Fruit': ['blackberry', 'plum', 'black fruit', 'blackcurrant', 'black cherry', 'dark fruit', 'jam', 'blueberry', 'cassis', 'black olive', 'boysenberry', 'black plum', 'bramble', 'blackberry jam', 'berry sauce', 'spiced plum'], 'Oak': ['oak', 'tobacco', 'vanilla', 'chocolate', 'coffee', 'clove', 'dark chocolate', 'espresso', 'cedar', 'mocha', 'cigar', 'baking spice', 'nutmeg', 'pipe tobacco', 'caramel', 'milk chocolate', 'cigar box', 'butter', 'cola', 'toffee', 'incense', 'butterscotch', 'coconut'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'strawberry', 'red currant', 'red cherry', 'cranberry', 'red plum', 'sour cherry', 'cotton candy', 'pomegranate'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'minerals', 'tar', 'mushroom', 'stone', 'iron', 'salt', 'pencil lead', 'forest floor', 'charcoal', 'graphite', 'game', 'tobacco leaf', 'cured meat', 'ginger', 'rubber', 'slate', 'pencil shavings', 'petroleum'], 'Spices': ['licorice', 'pepper', 'mint', 'sage', 'cinnamon', 'eucalyptus', 'savory', 'white pepper', 'anise', 'dried herbs', 'gingerbread', 'thyme', 'bay leaf', 'oregano', 'tarragon', 'musk', 'menthol'], 'Microbio': ['cheese', 'cream', 'parmesan cheese', 'oil'], 'Dried Fruit': ['prune', 'raisin', 'fig', 'dried fruit'], 'Floral': ['violet', 'perfume', 'rose hip', 'lilac', 'acacia'], 'Vegetal': ['grass', 'tomato', 'hay', 'straw', 'bell pepper'], 'Citrus Fruit': ['lime', 'citrus', 'lemon', 'orange'], 'Non Oak': ['almond', 'marzipan', 'toast'], 'Tree Fruit': ['pear', 'peach', 'stone fruit', 'apple']}",https://www.vivino.com/FR/en/banfi-cum-laude/w/1631892?price_id=35060381&year=2020
Parker Coonawarra Estate,Terra Rossa Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2019,Coonawarra,Australia,"Light - Bold: 66.9486875%, Smooth - Tannic: 55.179595%, Dry - Sweet: 6.879627499999998%, Soft - Acidic: 52.79278%",30,The taste profile of Parker Coonawarra Estate Terra Rossa Cabernet Sauvignon is based on 810 user reviews,"{'Black Fruit': ['blackcurrant', 'blackberry', 'plum', 'cassis', 'dark fruit', 'black fruit', 'blueberry', 'black cherry', 'bramble', 'black plum', 'mulberry', 'boysenberry', 'ripe blackberry', 'jam', 'black olive', 'blackcurrant jam', 'berry jam'], 'Oak': ['oak', 'chocolate', 'cedar', 'vanilla', 'tobacco', 'dark chocolate', 'cigar box', 'coffee', 'clove', 'caramel', 'mocha', 'butter', 'toffee', 'sweet tobacco', 'coconut', 'allspice', 'pipe tobacco'], 'Spices': ['mint', 'eucalyptus', 'pepper', 'licorice', 'menthol', 'bay leaf', 'fennel', 'thyme', 'rosemary', 'anise', 'green herbs', 'white pepper', 'cinnamon', 'savory', 'dried herbs', 'oregano', 'vanilla bean'], 'Earth': ['earthy', 'leather', 'forest floor', 'smoke', 'minerals', 'tobacco leaf', 'cocoa', 'graphite', 'chalk', 'pencil shavings', 'ash', 'tar', 'mushroom', 'truffle', 'game', 'new leather', 'iron', 'salt', 'flint'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'red cherry', 'strawberry', 'red plum', 'red currant'], 'Vegetal': ['green bell pepper', 'tomato leaf', 'tomato', 'bell pepper', 'grass'], 'Dried Fruit': ['dried fruit', 'raisin', 'prune', 'fig', 'dried blueberry', 'fruitcake'], 'Microbio': ['cream', 'oil', 'cheese', 'curd', 'yeast'], 'Floral': ['violet', 'lavender', 'perfume', 'gardenia'], 'Non Oak': ['toast', 'dried fig', 'nutty'], 'Tree Fruit': ['pear', 'quince'], 'Tropical Fruit': ['mango']}",https://www.vivino.com/FR/en/parker-coonawarra-estate-terra-rossa-cabernet-sauvignon/w/1427400?price_id=31578297&year=2019
Smith & Hook,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2019,Central Coast,United States,"Light - Bold: 85%, Smooth - Tannic: 53.65427%, Dry - Sweet: 6.517812499999998%, Soft - Acidic: 43.6033725%",27.95,The taste profile of Smith & Hook Cabernet Sauvignon is based on 4874 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'mocha', 'cedar', 'coffee', 'dark chocolate', 'clove', 'baking spice', 'cola', 'butter', 'caramel', 'nutmeg', 'milk chocolate', 'espresso', 'coconut', 'pipe tobacco', 'cigar', 'fudge', 'allspice', 'sweet tobacco', 'wood smoke', 'dill', 'cigar box', 'hickory'], 'Black Fruit': ['blackberry', 'plum', 'dark fruit', 'black cherry', 'blueberry', 'blackcurrant', 'black fruit', 'cassis', 'jam', 'boysenberry', 'black plum', 'blackberry jam', 'ripe blackberry', 'black raspberry', 'bramble', 'black olive', 'mulberry', 'berry jam'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'strawberry', 'cranberry', 'red cherry', 'pomegranate', 'cherry cola', 'bing cherry', 'red plum', 'red currant', 'sour cherry', 'watermelon', 'cherry syrup'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'graphite', 'minerals', 'mushroom', 'stone', 'balsamic', 'tar', 'pencil shavings', 'honey', 'game', 'flint', 'salt', 'charcoal', 'pencil lead', 'dried leaves', 'grilled meat', 'tobacco leaf', 'slate', 'cured meat', 'ash', 'tree bark', 'forest floor', 'ginger', 'saline', 'iron', 'chalk'], 'Spices': ['pepper', 'licorice', 'cinnamon', 'mint', 'anise', 'savory', 'eucalyptus', 'menthol', 'black licorice', 'thyme', 'sage', 'vanilla bean', 'white pepper', 'dried herbs', 'rosemary', 'tarragon', 'green peppercorn', 'jalapeno', 'juniper', 'cracked pepper', 'green cardamom', 'mace', 'fennel'], 'Microbio': ['cheese', 'cream', 'oil', 'banana'], 'Dried Fruit': ['raisin', 'prune', 'fig', 'dried fruit', 'dried blackberry', 'dried apricot'], 'Non Oak': ['toast', 'nutty', 'almond', 'brown sugar', 'molasses', 'graham cracker', 'pecan', 'walnut'], 'Floral': ['violet', 'lavender', 'perfume', 'lily', 'rose petal', 'geranium'], 'Vegetal': ['tomato', 'rhubarb', 'grass', 'green bell pepper', 'asparagus', 'bell pepper', 'tomato leaf', 'celery'], 'Tree Fruit': ['stone fruit', 'apple', 'peach', 'pear', 'quince', 'apricot', 'persimmon'], 'Citrus Fruit': ['citrus', 'lemon', 'marmalade', 'orange peel', 'orange', 'blood orange'], 'Tropical Fruit': ['guava', 'passion fruit', 'bubblegum']}",https://www.vivino.com/FR/en/smith-hook-cabernet-sauvignon/w/2979890?price_id=37260034&year=2019
Rocca delle Macìe,Roccato,Red wine,100% Cabernet Sauvignon,2020,Toscana,Italy,"Light - Bold: 53.5109325%, Smooth - Tannic: 42.97828%, Dry - Sweet: 9.501337500000002%, Soft - Acidic: 45.769935000000004%",31.2,The taste profile of Rocca delle Macìe Roccato is based on 434 user reviews,"{'Oak': ['oak', 'tobacco', 'dark chocolate', 'vanilla', 'coffee', 'chocolate', 'cedar', 'cigar', 'espresso', 'cigar box', 'clove', 'milk chocolate', 'sweet tobacco', 'caramel', 'dill', 'sandalwood', 'mocha'], 'Earth': ['leather', 'earthy', 'tar', 'mushroom', 'smoke', 'cocoa', 'truffle', 'balsamic', 'game', 'ash', 'graphite', 'chalk', 'minerals', 'flint', 'chewing tobacco', 'dried leaves'], 'Black Fruit': ['plum', 'dark fruit', 'blackcurrant', 'black cherry', 'blackberry', 'black fruit', 'blueberry', 'black olive', 'ripe blackberry', 'black plum', 'blackberry jam', 'cassis', 'jam', 'wild blueberry'], 'Red Fruit': ['cherry', 'red fruit', 'strawberry', 'red cherry', 'raspberry', 'red currant', 'sour cherry'], 'Spices': ['licorice', 'pepper', 'menthol', 'dried herbs', 'rosemary', 'savory', 'cinnamon', 'star anise', 'juniper', 'dried rosemary', 'eucalyptus', 'bay leaf'], 'Dried Fruit': ['raisin', 'prune', 'fig', 'dried fruit'], 'Vegetal': ['bell pepper', 'tomato', 'hay', 'straw', 'green bell pepper'], 'Non Oak': ['molasses', 'hazelnut', 'walnut'], 'Floral': ['violet', 'perfume'], 'Citrus Fruit': ['marmalade', 'blood orange', 'orange'], 'Tree Fruit': ['apricot', 'apple'], 'Microbio': ['cream']}",https://www.vivino.com/FR/en/rocca-delle-macie-roccato/w/10320?price_id=37277526&year=2020
Conte Emo Capodilista,Irenèo Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2017,Colli Euganei,Italy,"Light - Bold: 65.60353%, Smooth - Tannic: 50.6665925%, Dry - Sweet: 17.4131975%, Soft - Acidic: 29.319172499999993%",27.58,The taste profile of Conte Emo Capodilista Irenèo Cabernet Sauvignon is based on 72 user reviews,"{'Black Fruit': ['blackberry', 'blackcurrant', 'jam', 'plum', 'cassis', 'black olive', 'black cherry', 'black fruit'], 'Oak': ['oak', 'vanilla', 'tobacco', 'milk chocolate', 'nutmeg', 'coffee', 'cigar box'], 'Red Fruit': ['cherry', 'strawberry', 'red cherry'], 'Earth': ['leather', 'smoke', 'honey', 'minerals'], 'Spices': ['pepper', 'sage', 'dried herbs', 'mint'], 'Non Oak': ['walnut'], 'Dried Fruit': ['fig'], 'Floral': ['chamomile'], 'Microbio': ['cream']}",https://www.vivino.com/FR/en/la-montecchia-ireneo-cabernet-sauvignon/w/1236727?price_id=31981651&year=2017
Ad Fines,Caivs,Red wine,100% Cabernet Sauvignon,2020,Vaucluse,France,"Light - Bold: 51.65145750000001%, Smooth - Tannic: 33.0456175%, Dry - Sweet: 17.706207499999998%, Soft - Acidic: 43.5073%",31,The taste profile of Ad Fines Caivs is based on 43 user reviews,"{'Black Fruit': ['blackberry', 'cassis', 'jam', 'blueberry', 'black fruit', 'blackcurrant'], 'Spices': ['licorice', 'musk', 'rosemary', 'thyme', 'cinnamon', 'pepper', 'pink peppercorn', 'white pepper'], 'Red Fruit': ['raspberry', 'cherry', 'red fruit', 'cherry syrup', 'strawberry'], 'Earth': ['mushroom', 'leather', 'smoke', 'truffle', 'forest floor'], 'Floral': ['lavender', 'dried flowers', 'violet'], 'Oak': ['cigar box', 'oak'], 'Microbio': ['cheese']}",https://www.vivino.com/FR/en/ad-fines-caivs/w/1521407?price_id=36443322&year=2020
Dalla Cia,Classico Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2022,Stellenbosch,South Africa,"Light - Bold: 73.0830125%, Smooth - Tannic: 58.077614999999994%, Dry - Sweet: 10.960294999999999%, Soft - Acidic: 54.9682775%",23.61,The taste profile of Dalla Cia Classico Cabernet Sauvignon is based on 145 user reviews,"{'Black Fruit': ['plum', 'cassis', 'blackberry', 'mulberry', 'blueberry', 'dark fruit', 'black cherry', 'blackcurrant', 'black fruit', 'ripe blackberry', 'jam'], 'Oak': ['oak', 'vanilla', 'tobacco', 'cedar', 'chocolate', 'coffee', 'nutmeg', 'mocha', 'cigar', 'clove', 'milk chocolate'], 'Spices': ['eucalyptus', 'pepper', 'cinnamon', 'aniseed', 'savory', 'menthol'], 'Earth': ['earthy', 'leather', 'pencil shavings', 'smoke', 'cocoa', 'black truffle', 'flint'], 'Red Fruit': ['cherry', 'strawberry'], 'Tree Fruit': ['melon', 'pear', 'peach'], 'Dried Fruit': ['raisin', 'prune'], 'Non Oak': ['almond'], 'Vegetal': ['hay'], 'Floral': ['violet'], 'Microbio': ['cheese'], 'Citrus Fruit': ['orange']}",https://www.vivino.com/FR/en/dalla-cia-classico-cabernet-sauvignon/w/1583280?price_id=37694834&year=2022
